Year,m,d,Time,Time zone,Air temperature (degC)
2022,9,17,01:00,UTC,9.5
2022,9,17,02:00,UTC,9.2
2022,9,17,03:00,UTC,8.9
2022,9,17,04:00,UTC,8.7
2022,9,17,05:00,UTC,8.8
2022,9,17,06:00,UTC,9.2
2022,9,17,07:00,UTC,10.1
2022,9,17,08:00,UTC,10.3
2022,9,17,09:00,UTC,11.2
2022,9,17,10:00,UTC,11.8
2022,9,17,11:00,UTC,12.7
2022,9,17,12:00,UTC,13
2022,9,17,13:00,UTC,12.8
2022,9,17,14:00,UTC,12.9
2022,9,17,15:00,UTC,12.4
2022,9,17,16:00,UTC,11.1
2022,9,17,17:00,UTC,9.9
2022,9,17,18:00,UTC,9.7
2022,9,17,19:00,UTC,9.7
2022,9,17,20:00,UTC,8.6
2022,9,17,21:00,UTC,8.5
2022,9,17,22:00,UTC,8.3
2022,9,17,23:00,UTC,8.6
2022,9,18,00:00,UTC,9
